,Sample #,Date,Time,Lat ,Long,Distance from LT,Salinity,Temperature ,pH,DO (% sat) ,TA (umol kg) Corrected ,DIC (umol Kg) Density and standard corrected,DIN uM,PO4 uM,pCO2 IN uatm,Omega aragonite,Revelle IN,DO mg/L predicted at 100% saturatiion ,AOU (umol/L),Equilibrium DIC from CO2Sys TCO2 in (mmol/kgSW) assuming CO2=400 at observed sal temp and TA,Equilibrium CO2 in (mmol/kgSW) at observed sal temp and TA and CO2=400,Ecxcess DIC (umol/kg),Excess CO2 (umol/kg),,,NH4 uM,NOx uM,DOC (umol/L),DO (mg/L),,,,,TA SE,DIC SE,DOC SE,,pH in,fCO2 in (matm),pCO2 in (matm),HCO3 in (mmol/kgSW),CO3 in (mmol/kgSW),CO2 in (mmol/kgSW),B Alk in (mmol/kgSW),OH in (mmol/kgSW),P Alk in (mmol/kgSW),Si Alk in (mmol/kgSW) ,Revelle in,WCa in,WAr in,xCO2 in (dry at 1 atm) (ppm),,t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm)
Lizard Island,LI_WTS_ TR_11,9/17/17,12:45,-14.663874,145.451558,0.5,34,27.2,8.17,104.1,2414.393293,2100.822843,1.881,0.414,439.3,3.68,9.665,6.545995057,55.75015447,2080.5,10.776894,20.334073,1.057676,,,1.198,0.6829,,8.33,,,,,1.963983538,0.7,,,8.019,437.9,439.3,1861.1,227.937265,11.834570,89.0,7.678887,0.786322,0.0,9.665,5.55,3.68,455.2,,0.000,0.0,8.454,134.5,135.1,1876.8,215.5,8.5,104.4,1.4,0.7,0.0,9.969,5.19,3.26,135.9
Lizard Island,LI_WTS_ TR_12,9/17/17,12:50,-14.663874,145.451558,1,33.9,27.4,8.17,104.4,2336.639417,2026.443561,1.839,0.422,418.8,3.61,9.522,6.528021501,61.6243281,2016.7,10.730377,9.695514,0.504701,,,1.268,0.5709,,8.5,,,,,1.963983538,0.95,,,8.024,417.5,418.8,1792.1,223.073302,11.235078,89.8,7.889419,0.658812,0.0,9.522,5.44,3.61,434.2,,0.000,0.0,8.462,127.3,127.8,1807.6,210.8,8.1,105.4,1.4,0.6,0.0,9.820,5.08,3.19,128.6
Lizard Island,LI_WTS_ TR_13,9/17/17,12:55,-14.663874,145.451558,2,34.2,26,8.18,104.6,2326.596381,2021.640004,1.890,0.385,405.8,3.50,9.595,6.671090471,59.02842277,2018.8,11.086996,2.849965,0.160503,,,1.308,0.5819,,8.56,,,,,1.963983538,0.3,,,8.034,404.5,405.8,1791.9,218.519134,11.247499,89.9,7.173835,0.667701,0.0,9.595,5.30,3.50,419.4,,0.000,0.0,8.450,130.5,131.1,1806.8,206.6,8.2,104.5,1.4,0.6,0.0,9.876,4.97,3.12,131.9
Lizard Island,LI_WTS_ TR_14,9/17/17,13:00,-14.663874,145.451558,4,34.3,26,8.17,104.4,2337.465419,2024.168192,1.995,0.375,395.0,3.59,9.484,6.667319953,60.08375146,2027.1,11.081280,-2.882223,-0.137414,,,1.378,0.6169,,8.59,,,,,1.963983538,0.8,,,8.045,393.8,395.0,1789.0,224.201303,10.943866,92.0,7.368058,0.710126,0.0,9.484,5.44,3.59,408.3,,0.000,0.0,8.461,126.9,127.5,1803.9,212.2,8.0,107.0,1.4,0.7,0.0,9.756,5.10,3.20,128.3
Lizard Island,LI_WTS_ TR_15,9/17/17,13:05,-14.663874,145.451558,10,34.3,25.7,8.18,103.7,2331.318613,2021.640004,1.880,0.371,394.9,3.54,9.531,6.701192628,58.71273038,2024.6,11.164155,-2.954722,-0.141675,,,1.238,0.6419,,8.58,,,,,1.963983538,0.572756493,,,8.044,393.7,394.9,1789.1,221.504912,11.022481,91.3,7.165018,0.737519,0.0,9.531,5.37,3.54,408.0,,0.000,0.0,8.456,128.5,129.1,1803.9,209.7,8.1,106.0,1.4,0.7,0.0,9.802,5.04,3.17,129.8
Lizard Island,LI_WTS_ TR_16,9/17/17,13:10,-14.663874,145.451558,20,34.3,25.8,8.19,103.9,2336.950624,2018.879223,1.843,0.408,383.1,3.64,9.410,6.689865747,58.12919541,2028.3,11.136410,-9.410694,-0.471591,,,1.238,0.6049,,8.55,,,,,1.963983538,0.03,,,8.056,381.9,383.1,1781.0,227.237364,10.664819,93.4,7.423040,0.697620,0.0,9.410,5.51,3.64,395.8,,0.000,0.0,8.470,124.0,124.5,1795.7,215.3,7.8,108.5,1.5,0.7,0.0,9.673,5.18,3.25,125.3
One Tree Island,OTI_BT1_-0.5,16/11/2017,1240,-23.506643,152.091408,-0.5,35,25.2,7.72,88.9,2231.363427,2104.283323,35.771,1.15,1240.9,1.37,14.831,6.731525523,18.70232741,1942.8,11.263708,161.483518,23.679307,,,1.618,34.1529,,7.33,,,,,1.315,0.252981,,,7.590,1237.0,1240.9,1983.3,86.038010,34.943016,38.1,2.435483,35.457406,0.0,14.831,2.07,1.37,1280.6,,0.000,0.0,7.966,439.0,440.9,2000.1,76.6,27.6,42.8,0.5,34.8,0.0,16.327,1.83,1.15,443.6
One Tree Island,OTI_BT1_0,16/11/2017,1247,-23.506643,152.091408,0,35.4,25.9,7.9,74.9,2212.82994,2118.254216,19.651,1.29,1433.4,1.25,15.336,6.637139968,-17.41062401,1919.8,11.045891,198.428654,28.538374,,,1.798,17.8529,,6.08,,,,,1.315,0.252981,,,7.532,1428.9,1433.4,2000.1,78.616511,39.584265,34.9,2.285082,18.386606,0.0,15.336,1.89,1.25,1481.3,,0.000,0.0,7.912,502.0,504.2,2018.0,68.7,31.5,38.8,0.4,18.1,0.0,17.106,1.64,1.03,507.2
One Tree Island,OTI_BT1_0.5,16/11/2017,1255,-23.506643,152.091408,0.5,35.9,28.1,8.18,146.6,2279.314183,2122.274853,9.111,0.628,1009.3,1.93,13.018,6.381845062,158.0673418,1953.2,10.445552,169.106762,15.910499,,,1.988,7.1229,,11.44,,,,,1.315,0.252981,,,7.683,1006.2,1009.3,1975.5,120.461141,26.356051,51.4,3.966569,7.600728,0.0,13.018,2.89,1.93,1047.8,,0.000,0.0,8.112,312.3,313.7,1993.8,109.0,19.5,59.6,0.7,7.4,0.0,14.012,2.60,1.64,315.5
One Tree Island,OTI_BT1_1,16/11/2017,1258,-23.506643,152.091408,1,35.6,27.6,8.24,145.5,2264.795258,2090.972968,2.979,0.46,849.6,2.14,12.351,6.444988369,156.7191135,1947.6,10.586909,143.394599,11.899428,,,1.998,0.9809,,11.46,,,,,1.315,0.252981,,,7.748,847.0,849.6,1934.8,133.689558,22.486337,57.2,4.386351,1.057538,0.0,12.351,3.22,2.14,881.1,,0.000,0.0,8.174,265.3,266.5,1952.2,122.2,16.6,66.5,0.8,1.0,0.0,13.117,2.92,1.84,268.1
